# Program:featureCounts v2.0.0; Command:"/Volumes/userdata/staff_users/michaelblack/bin/featureCounts" "-a" "../Genome/Saccharomyces_cerevisiae.R64-1-1.99.gtf" "-o" "yeast_counts_all_chr.txt" "../STAR/SRR014335-Aligned.out.sam" "../STAR/SRR014336-Aligned.out.sam" "../STAR/SRR014337-Aligned.out.sam" "../STAR/SRR014339-Aligned.out.sam" "../STAR/SRR014340-Aligned.out.sam" "../STAR/SRR014341-Aligned.out.sam" 
Geneid	Chr	Start	End	Strand	Length	../STAR/SRR014335-Aligned.out.sam	../STAR/SRR014336-Aligned.out.sam	../STAR/SRR014337-Aligned.out.sam	../STAR/SRR014339-Aligned.out.sam	../STAR/SRR014340-Aligned.out.sam	../STAR/SRR014341-Aligned.out.sam
YDL086C-A	IV	301655	302089	-	435	0	0	0	0	0	0
YDL085C-A	IV	302464	302670	-	207	110	88	95	251	285	264
YDL085W	IV	303211	304848	+	1638	430	428	411	385	350	356
YDL084W	IV	305237	306577	+	1341	2037	2024	1930	2604	2816	2591
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	716	767	762	1400	1534	1422
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	581	549	493	912	901	882
YDL081C	IV	309802	310122	-	321	3244	3266	3219	3324	3301	3275
YDL080C	IV	310642	312471	-	1830	299	331	316	342	372	356
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	212	201	193	229	205	191
YDL078C	IV	315357	316388	-	1032	742	791	748	1029	1081	1073
YDL077C	IV	316971	320120	-	3150	317	326	316	436	454	438
YDL076C	IV	320668	321552	-	885	312	293	288	642	663	578
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	1541	1595	1570	4302	4525	4411
snR63	IV	323217	323471	-	255	114	115	109	1941	2016	1827
YDL074C	IV	324047	326149	-	2103	318	256	268	656	677	635
YDL073W	IV	326613	329567	+	2955	558	525	531	866	894	905
YDL072C	IV	329836	330447	-	612	2292	2323	2151	1877	2007	1871
YDL071C	IV	330666	331040	-	375	22	34	30	164	153	153
YDL070W	IV	331024	332940	+	1917	167	163	155	657	695	641
YDL069C	IV	333121	333810	-	690	21	33	31	75	88	95
YDL068W	IV	333500	333829	+	330	1	1	0	5	6	6
YDL067C	IV	334217	334396	-	180	272	240	239	449	450	453
YDL066W	IV	334835	336121	+	1287	982	1016	1038	1347	1304	1387
YDL065C	IV	336249	337277	-	1029	165	169	128	770	761	789
YDL064W	IV;IV	337487;337635	337524;338070	+;+	474	122	111	96	123	125	120
YDL063C	IV	338272	340134	-	1863	9	6	12	142	156	152
YDL062W	IV	339857	340282	+	426	2	0	0	5	8	8
YDL061C	IV	340628	340798	-	171	853	860	846	2204	2219	2323
YDL060W	IV	341619	343985	+	2367	116	138	119	503	487	468
YDL059C	IV	344237	344953	-	717	62	50	56	125	114	113
YDL058W	IV	345665	351037	+	5373	612	571	598	936	990	935
YDL057W	IV	351434	352420	+	987	81	93	93	137	148	123
YDL056W	IV	352877	355378	+	2502	311	315	311	377	395	379
YDL055C	IV	355674	356759	-	1086	1486	1452	1387	1407	1368	1360
tK(UUU)D	IV;IV	359577;359637	359613;359672	+;+	73	6	10	15	14	13	18
YDL054C	IV	359825	361285	-	1461	559	562	596	487	510	475
YDL053C	IV	361699	362256	-	558	226	233	201	209	221	236
YDL052C	IV	362672	363583	-	912	577	594	598	426	433	409
YDL051W	IV	363952	364779	+	828	117	107	113	464	479	447
YDL050C	IV	364446	364817	-	372	2	2	0	13	4	11
YDL049C	IV	365068	365874	-	807	56	50	53	78	69	97
YDL048C	IV	366739	368211	-	1473	364	385	334	378	333	334
YDL047W	IV	369771	370706	+	936	580	599	555	494	524	490
YDL046W	IV	371240	371761	+	522	2635	2691	2598	1719	1744	1626
YDL045W-A	IV	372248	372535	+	288	104	122	94	344	353	330
YDL045C	IV	372688	373608	-	921	220	230	188	323	338	296
YDL044C	IV	373967	375289	-	1323	54	85	79	228	217	196
YDL043C	IV	375680	376480	-	801	45	56	44	136	129	120
YDL042C	IV	376757	378445	-	1689	55	47	42	92	126	111
YDL041W	IV	378102	378455	+	354	0	1	0	2	3	1
YDL040C	IV	378874	381438	-	2565	506	518	481	616	616	566
YDL039C	IV	381985	384081	-	2097	188	217	201	148	164	158
YDL037C	IV	384601	385587	-	987	65	57	59	53	49	44
YDL036C	IV	387513	388901	-	1389	49	60	54	124	93	107
YDL035C	IV	389172	392057	-	2886	663	673	628	536	550	598
YDL034W	IV	391783	392127	+	345	12	11	12	17	8	17
YDL033C	IV	392659	393912	-	1254	128	115	119	126	127	122
YDL032W	IV	393690	394001	+	312	0	0	1	3	1	1
YDL031W	IV	394217	397204	+	2988	205	226	200	733	715	698
YDL030W	IV	397537	399129	+	1593	96	74	89	181	165	156
YDL029W	IV;IV	399340;399485	399361;400638	+;+	1176	1407	1329	1287	1056	1097	1037
YDL028C	IV	400997	403291	-	2295	215	201	196	320	334	308
YDL027C	IV	403695	404957	-	1263	233	208	254	420	393	392
YDL026W	IV	404749	405060	+	312	4	5	8	8	6	2
YDL025C	IV	405344	407206	-	1863	1261	1228	1125	994	1046	997
YDL025W-A	IV	405410	405514	+	105	0	0	0	0	0	0
YDL024C	IV	408451	409857	-	1407	1499	1579	1462	1417	1451	1436
YDL022C-A	IV	409808	410056	-	249	45	56	47	98	98	99
tA(AGC)D	IV	410379	410451	+	73	0	0	0	4	4	5
YDL023C	IV	411761	412081	-	321	1007	995	963	622	609	618
YDL022W	IV	411825	413000	+	1176	75576	74678	73326	38499	39295	38103
YDL021W	IV	413953	414888	+	936	124	148	115	199	204	163
YDL020C	IV	415113	416708	-	1596	1161	1216	1186	2134	2259	2153
YDL019C	IV	417663	421514	-	3852	2603	2734	2541	1204	1215	1145
YDL018C	IV	422833	423510	-	678	146	119	133	182	195	177
YDL017W	IV	424209	425732	+	1524	172	147	154	248	254	250
YDL016C	IV	425570	425872	-	303	126	111	128	134	143	121
YDL015C	IV	426002	426934	-	933	1533	1587	1551	1681	1660	1687
YDL014W	IV	427364	428347	+	984	504	509	484	582	620	650
YDL013W	IV	429067	430926	+	1860	755	785	724	1239	1305	1264
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	294	294	325	429	474	432
YDL011C	IV	432308	432631	-	324	1	0	0	1	1	2
YDL010W	IV	432330	433025	+	696	83	84	93	115	105	106
YDL009C	IV	432925	433248	-	324	66	85	64	90	109	90
YDL008W	IV	433497	433994	+	498	115	131	120	336	313	323
tT(AGU)D	IV	434264	434336	-	73	1	1	0	0	1	1
YDL007C-A	IV	436567	436824	-	258	1	0	1	7	0	2
tS(AGA)D1	IV	437772	437853	+	82	3	2	0	1	3	0
YDL007W	IV	438047	439360	+	1314	953	920	887	1516	1436	1436
YDL006W	IV	439909	440754	+	846	269	313	278	452	445	414
YDL005C	IV	441014	442309	-	1296	295	273	258	865	888	843
YDL004W	IV	443029	443511	+	483	599	628	572	779	762	819
YDL003W	IV	444683	446383	+	1701	218	213	203	424	431	387
YDL002C	IV	446967	447578	-	612	99	129	122	312	353	347
YDL001W	IV	447984	449276	+	1293	102	97	101	407	391	417
YDR001C	IV	450220	452475	-	2256	6697	6766	6393	2832	3039	2731
YDR002W	IV	453045	453650	+	606	1097	1045	989	2754	2809	2797
YDR003W	IV	454122	454754	+	633	530	511	507	571	550	543
YDR003W-A	IV	454782	454904	+	123	56	63	72	86	89	83
YDR004W	IV	455201	456583	+	1383	248	247	260	439	420	437
YDR005C	IV;IV	456836;458098	458017;458103	-;-	1188	292	277	275	500	520	498
YDR006C	IV	458542	461247	-	2706	738	694	703	747	751	722
YDR007W	IV	461842	462516	+	675	0	0	0	0	0	0
YDR008C	IV	462252	462602	-	351	1	1	1	6	6	8
YDR009W	IV	463434	464996	+	1563	102	125	122	167	196	164
YDR010C	IV	465051	465383	-	333	23	25	12	18	22	17
YDR011W	IV	465919	470424	+	4506	3879	3924	3716	2675	2681	2617
YDR012W	IV	471853	472941	+	1089	1100	1101	1117	1421	1371	1399
YDR013W	IV	473157	473783	+	627	63	56	71	175	158	169
YDR014W	IV	474046	475989	+	1944	82	66	70	179	160	139
YDR014W-A	IV	477797	478285	+	489	7	8	7	13	13	11
YDR015C	IV	477960	478199	-	240	0	0	0	0	0	0
YDR016C	IV	478474	478758	-	285	66	76	72	116	117	112
YDR017C	IV	479115	482267	-	3153	526	550	564	707	694	646
YDR018C	IV	482670	483860	-	1191	128	132	147	110	113	92
YDR019C	IV	484163	485365	-	1203	232	226	215	250	260	266
YDR020C	IV	485746	486444	-	699	35	34	34	137	145	137
YDR021W	IV	486804	488003	+	1200	36	21	23	207	196	167
YDR022C	IV	488072	488662	-	591	47	48	35	167	170	182
tV(UAC)D	IV	488797	488870	-	74	0	3	0	0	7	6
YDR023W	IV	489508	490896	+	1389	830	846	823	1634	1641	1644
YDR024W	IV	491017	491502	+	486	20	10	13	27	32	30
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	656	663	639	650	655	619
YDR026C	IV	492556	494268	-	1713	137	140	130	347	328	317
YDR027C	IV	494649	497318	-	2670	586	562	555	689	701	734
YDR028C	IV	497835	500879	-	3045	1459	1420	1354	1631	1671	1558
YDR029W	IV	501100	501414	+	315	44	43	41	88	89	90
YDR030C	IV	501753	503273	-	1521	127	127	130	441	511	470
YDR031W	IV	503498	503863	+	366	45	64	62	161	165	149
YDR032C	IV	504099	504695	-	597	3165	3147	3038	2111	2147	2077
YDR033W	IV	508147	509109	+	963	2095	2136	1982	1672	1695	1661
YDR034C	IV	509737	512109	-	2373	260	281	243	453	424	493
YDR034C-D	IV	514043	519356	-	5314	12	13	11	26	26	20
YDR034C-C	IV	518040	519356	-	1317	0	0	0	0	0	0
tL(UAA)D	IV	519743	519826	+	84	3	1	3	3	2	4
YDR034C-A	IV	520516	520692	-	177	3	9	8	9	15	18
tQ(UUG)D1	IV	520972	521043	+	72	1	0	0	1	4	1
YDR034W-B	IV	521314	521469	+	156	584	563	619	467	462	437
YDR035W	IV	521816	522928	+	1113	832	787	796	684	756	679
YDR036C	IV	523211	524713	-	1503	525	563	511	403	434	388
YDR037W	IV	525440	527215	+	1776	1558	1569	1557	1866	1814	1757
YDR038C	IV	527422	530697	-	3276	114	135	109	77	76	53
YDR039C	IV	531307	534582	-	3276	0	0	0	0	0	0
YDR040C	IV	535192	538467	-	3276	4630	4582	4627	1732	1811	1755
YDR041W	IV	539803	540414	+	612	258	283	313	934	946	940
YDR042C	IV	540601	541203	-	603	55	44	55	391	397	376
snR47	IV	541602	541700	-	99	284	277	291	3359	3533	3382
YDR043C	IV	542674	543369	-	696	317	297	320	499	519	521
YDR044W	IV	546642	547628	+	987	385	398	366	103	123	122
YDR045C	IV	547978	548310	-	333	48	49	57	124	134	137
YDR046C	IV	548762	550576	-	1815	628	695	661	526	501	498
YDR047W	IV	551860	552948	+	1089	850	823	878	669	652	646
YDR048C	IV	553084	553398	-	315	3	3	5	8	8	2
YDR049W	IV	553254	555152	+	1899	292	285	289	444	444	443
YDR050C	IV	555726	556472	-	747	11103	10923	10502	7183	6904	6916
YDR051C	IV	557056	558060	-	1005	367	384	352	695	767	706
YDR052C	IV	558511	560625	-	2115	220	270	257	335	320	316
YDR053W	IV	560249	560644	+	396	0	0	0	0	1	1
YDR054C	IV	561440	562327	-	888	390	409	392	493	542	481
YDR055W	IV	563527	564861	+	1335	686	684	608	502	479	446
YDR056C	IV	565023	565640	-	618	415	384	362	631	598	661
YDR057W	IV	565927	567555	+	1629	320	331	336	433	469	428
YDR058C	IV	567723	568703	-	981	157	161	168	385	375	362
tR(UCU)D	IV	568882	568953	+	72	0	0	0	0	0	0
tD(GUC)D	IV	568964	569035	+	72	0	1	2	4	3	1
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	436	447	417	421	410	395
YDR060W	IV	570649	573726	+	3078	135	123	100	605	626	580
YDR061W	IV	574164	575783	+	1620	316	362	354	586	633	590
YDR062W	IV	576474	578159	+	1686	1979	1960	1890	1538	1563	1472
YDR063W	IV	578663	579112	+	450	185	178	213	264	287	252
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	2855	2760	2864	4182	4366	4080
YDR065W	IV	580687	581784	+	1098	85	80	73	192	205	200
YDR066C	IV	581908	582498	-	591	79	67	57	170	159	166
YDR067C	IV	582791	583465	-	675	102	104	117	221	231	242
YDR068W	IV	583713	584645	+	933	186	205	205	613	652	608
YDR069C	IV	584939	587719	-	2781	674	696	683	985	981	967
YDR070C	IV	588098	588379	-	282	1136	1100	1036	666	696	712
YDR071C	IV	588827	589402	-	576	414	385	385	862	927	812
YDR072C	IV	589761	591344	-	1584	1615	1558	1568	945	1038	1018
YDR073W	IV	592439	592948	+	510	230	259	215	422	391	417
YDR074W	IV	593893	596583	+	2691	24094	24225	23591	8879	8878	8739
YDR075W	IV	597156	598082	+	927	54	52	34	100	110	84
YDR076W	IV	598468	599688	+	1221	343	346	313	410	395	375
YDR077W	IV	600793	601809	+	1017	68304	67362	66162	22159	22801	21853
YDR078C	IV	602198	602869	-	672	134	121	119	215	211	204
YDR079W	IV	603064	603399	+	336	47	31	54	161	116	144
YDR079C-A	IV	603593	603811	-	219	27	34	28	184	199	190
YDR080W	IV	604008	606986	+	2979	268	289	257	460	511	447
YDR081C	IV	607304	610081	-	2778	406	411	401	418	462	399
YDR082W	IV	610441	611925	+	1485	116	138	167	324	330	361
YDR083W	IV	612073	613251	+	1179	29	46	49	256	258	219
YDR084C	IV	613405	614004	-	600	313	321	335	315	343	329
YDR085C	IV	614288	616150	-	1863	474	457	420	471	451	422
YDR086C	IV	616928	617170	-	243	241	221	249	860	823	832
YDR087C	IV	617470	618306	-	837	207	235	209	582	629	651
YDR088C	IV	618497	619645	-	1149	104	101	102	375	408	401
tR(ACG)D	IV	619969	620041	-	73	6	2	6	6	7	6
YDR089W	IV	622112	624721	+	2610	242	242	255	165	198	180
YDR090C	IV	625066	625998	-	933	301	298	296	281	279	278
YDR091C	IV	626708	628534	-	1827	374	417	391	522	498	490
YDR092W	IV;IV	629876;630174	629905;630605	+;+	462	267	293	292	339	354	414
YDR093W	IV	631282	636120	+	4839	1907	1904	1937	659	686	657
YDR094W	IV	635840	636175	+	336	0	0	0	0	0	0
YDR095C	IV	636117	636527	-	411	26	28	25	10	30	17
YDR096W	IV	637139	639823	+	2685	1454	1427	1381	958	946	905
YDR097C	IV	640109	643837	-	3729	145	159	158	334	324	333
YDR098C	IV	644178	644930	-	753	281	289	271	395	440	417
tQ(UUG)D2	IV	645153	645224	-	72	0	0	0	0	0	0
YDR098C-B	IV	645858	651126	-	5269	2	3	2	9	3	1
YDR098C-A	IV	649804	651126	-	1323	0	0	0	0	0	0
YDR099W	IV	653607	654428	+	822	1870	1858	1776	2057	2100	1979
YDR100W	IV	655013	655444	+	432	420	408	435	379	354	350
YDR101C	IV	655686	657467	-	1782	102	104	92	263	265	250
YDR102C	IV	657648	657980	-	333	12	9	6	29	45	39
YDR103W	IV	658350	661103	+	2754	429	466	478	514	563	510
YDR104C	IV	661173	664910	-	3738	264	220	267	335	339	316
YDR105C	IV	665349	666770	-	1422	936	908	940	502	541	478
YDR106W	IV	667004	667858	+	855	31	35	30	79	102	89
tI(AAU)D	IV	668007	668080	-	74	0	2	0	0	0	2
YDR107C	IV	669016	671034	-	2019	504	512	491	391	388	391
YDR108W	IV	671269	673365	+	2097	158	186	176	230	205	203
YDR109C	IV	673520	675667	-	2148	403	428	403	319	348	312
YDR110W	IV	676102	677802	+	1701	199	180	200	352	363	376
YDR111C	IV	678241	679764	-	1524	494	522	476	583	612	592
